Name,Company,Pay,Age
Richard J Schnieders,Sysco,426e4,>=50
James D Sinegal,Costco Wholesale,425e4,>=50
Andrew N Liveris,Dow Chemical,425e4,>=50
George W Buckley,3M,42e5,>=50
James M Jenness,Kellogg,4190000.0000000005,>=50
Mark G Parker,NIKE,4166000.0000000005,>=50
James A Skinner,McDonald's,416e4,>=50
Steven R Rogel,Weyerhaeuser,4150000.0000000005,>=50
Marshall O Larsen,Goodrich,413e4,>=50
Christopher J Nassetta,Host Marriott,4135e3,<50
Rex W Tillerson,ExxonMobil,NA,>=50
Peter J Rose,Expeditors Intl,4099999.9999999995,>=50
James R Young,Union Pacific,4075999.9999999995,>=50
Richard L Keyser,WW Grainger,4059999.9999999995,>=50
Donald K Peterson,Avaya,4030000.0000000005,>=50
Mark A Angelson,RR Donnelley & Sons,4e6,>=50
Jackson W Moore,Regions Financial,399e4,>=50
Vincent A Gierer Jr,UST,398e4,>=50
William B Timmerman,Scana,391e4,>=50
James D Taiclet Jr,American Tower,389e4,<50
Jeffrey M Peek,CIT Group,386e4,>=50
David J Neithercut,Equity Residential,NA,>=50
Susan M Ivey,Reynolds American,376e4,<50
Ralph W Babb Jr,Comerica,375e4,>=50
Jack O Bovender Jr,HCA,3745e3,>=50
Sheldon G Adelson,Las Vegas Sands,369e4,>=50
Richard C Kelly,Xcel Energy,367e4,>=50
Michael G Cherkasky,Marsh & McLennan,364e4,>=50
Trevor Fetter,Tenet Healthcare,364e4,<50
R David Yost,AmerisourceBergen,362e4,>=50
Robert A Eckert,Mattel,3605e3,>=50
Barry Diller,IAC/InterActiveCorp,3595e3,>=50
Jeffrey Noddle,Supervalu,355e4,>=50
David W Bernauer,Walgreen,354e4,>=50
Daniel H Mudd,Fannie Mae,354e4,<50
William R Johnson,HJ Heinz,351e4,>=50
Steven Roth,Vornado Realty,3495e3,>=50
Carl H Lindner III,American Finl Group,NA,>=50
Richard H Lenny,Hershey,348e4,>=50
Clayton M Jones,Rockwell Collins,346e4,>=50
Raymond W McDaniel Jr,Moody's,346e4,<50
Steven J Heyer,Starwood Hotels,346e4,>=50
Robert B McGehee,Progress Energy,346e4,>=50
Alain J P Belda,Alcoa,345e4,>=50
Scott A McGregor,Broadcom,344e4,>=50
Raj L Gupta,Rohm and Haas,343e4,>=50
Aylin B Lewis,Sears Holdings,342e4,>=50
David M Ratcliffe,Southern Co,3415e3,>=50
Ronald M DeFeo,Terex,3415e3,>=50
William P Lauder,Estee Lauder Cos,34e5,<50
Gregory C Case,Aon,338e4,<50
Curt S Culver,MGIC Investment,337e4,>=50
Thomas J Fitzpatrick,SLM,335e4,>=50
John A Edwardson,CDW,335e4,>=50
Michael B McCallister,Humana,333e4,>=50
Jeff M Fettig,Whirlpool,332e4,<50
James S Tisch,Loews,331e4,>=50
Dustan E McCoy,Brunswick,3286e3,>=50
G Allen Andreas,Archer Daniels,328e4,>=50
Dean A Scarborough,Avery Dennison,325e4,>=50
Jeffrey A Joerres,Manpower,321e4,<50
Lars Westerberg,Autoliv,32e5,>=50
Jeffrey H Schwartz,ProLogis,319e4,<50
David E I Pyott,Allergan,318e4,>=50
Robert B Catell,KeySpan,3185e3,>=50
Wayne W Murdy,Newmont Mining,317e4,>=50
Charles O Holliday Jr,EI du Pont de Nemours,317e4,>=50
W Leo Kiely III,Molson Coors Brewing,3175e3,>=50
Gale E Klappa,Wisconsin Energy,317e4,>=50
Robert L Parkinson Jr,Baxter International,316e4,>=50
Chad C Deaton,Baker Hughes,313e4,>=50
Gregory M Spierkel,Ingram Micro,NA,<50
Sanford A Ibrahim,Radian Group,309e4,>=50
Richard K Templeton,Texas Instruments,307e4,<50
David B Speer,Illinois Tool Works,3056e3,>=50
Douglas M Baker,Ecolab,304e4,<50
James R Tobin,Boston Scientific,303e4,>=50
Joseph R Ficalora,New York Community,3025e3,>=50
Daniel C Ustian,Navistar Intl,2955e3,>=50
Charles E Bunch,PPG Industries,294e4,>=50
Mackey J McDonald,VF,293e4,>=50
Margaret C Whitman,Ebay,2915e3,<50
Aubrey K McClendon,Chesapeake Energy,2895e3,<50
William V Hickey,Sealed Air,286e4,>=50
Michael H Jordan,Electronic Data Sys,285e4,>=50
Blake W Nordstrom,Nordstrom,2825e3,<50
Robert E Lowder,Colonial BancGroup,277e4,>=50
David Simon,Simon Property Group,273e4,<50
Claiborne P Deming,Murphy Oil,273e4,>=50
Douglas L Foshee,El Paso,272e4,<50
James L Donald,Starbucks,27e5,>=50
Stephen P MacMillan,Stryker,268e4,<50
Mark D Ketchum,Newell Rubbermaid,253e4,>=50
Thomas J Falk,Kimberly-Clark,249e4,<50
Donald M James,Vulcan Materials,2495e3,>=50
Charles W Moorman IV,Norfolk Southern,2486e3,>=50
Neil Smit,Charter Commun,242e4,<50
Charles D Davidson,Noble Energy,241e4,>=50
L Phillip Humann,SunTrust Banks,24e5,>=50
